"CBO","DIT","FanIn","FanOut","LCOM","NOC","NOA","NOAI","LOC","NOM","NOMI","NOPRA","NOPRM","NOPA","NOPM","RFC","WMC","change_probability"
"4","1","1","3","105","0","16","0","325","15","8","2","3","6","12","52","89","269"
"1","3","1","0","0","0","3","4","0","1","19","0","0","3","1","1","0","2"
"9","2","3","6","78","1","5","0","101","13","18","0","0","5","9","42","32","702"
"4","4","1","3","10","0","1","14","35","5","60","1","0","0","1","14","17","2"
"5","3","2","3","6","0","4","5","33","4","31","0","0","4","2","11","16","353"
"4","3","1","3","6","0","1","143","23","4","40","0","0","1","3","10","7","473"
"18","3","1","17","21","0","4","380","163","7","38","1","0","3","7","63","32","1265"
"2","5","0","2","36","1","9","61","54","9","49","3","0","1","5","20","16","10394"
"2","1","2","0","0","0","0","0","0","1","8","0","0","0","1","1","0","14"
"2","3","1","1","1","0","0","387","11","2","32","0","0","0","2","7","4","270"
"7","1","2","5","78","0","1","0","82","13","8","1","0","0","13","46","18","463"
"6","4","2","4","6","0","0","384","29","4","48","0","0","0","4","16","10","117"
"7","1","5","2","15","1","3","0","39","6","8","0","0","2","6","19","12","67"
"13","4","1","12","3","0","7","61","61","3","45","0","0","0","2","32","13","79"
"4","2","1","3","28","0","7","0","49","8","26","7","0","0","8","21","14","84"
"3","2","1","2","3","0","1","0","62","3","13","1","1","0","1","14","8","347"
"23","1","5","18","10","0","4","0","200","5","8","4","3","0","2","85","50","1659"
"2","1","1","1","3","0","2","0","24","3","10","2","0","0","3","11","7","80"
"7","1","3","4","45","0","3","0","103","10","16","0","1","3","9","27","36","589"
"17","3","2","15","55","2","4","380","217","11","38","0","1","4","10","81","74","2869"
"2","2","2","0","0","0","0","2","3","1","33","0","0","0","1","1","1","130"
"3","3","1","2","3","0","3","1","21","3","31","3","0","0","3","5","5","123"
"19","1","3","16","36","0","6","12","271","9","11","0","4","6","4","116","79","1669"
"10","3","6","4","91","0","6","95","88","14","76","3","0","1","4","47","22","966"
"5","2","2","3","1","0","3","0","50","2","39","3","0","0","1","18","12","178"
"6","2","3","3","15","0","1","0","23","6","13","0","1","1","5","11","10","97"
"16","7","3","13","36","2","1","387","296","9","101","0","1","1","7","115","91","1694"
"19","1","4","16","190","0","17","26","332","20","8","0","1","16","17","76","43","4784"
"9","4","0","9","6","0","0","384","75","4","41","0","0","0","4","29","17","186"
"8","3","1","7","15","0","2","380","44","6","38","0","0","2","6","28","13","1790"
"3","2","1","2","28","0","8","0","127","8","25","8","0","0","7","24","20","318"
"7","1","0","7","6","0","2","0","50","4","0","2","1","0","3","28","14","105"
"6","3","1","5","36","0","0","38","50","9","116","0","0","0","5","28","12","736"
"1","5","0","1","36","0","4","61","40","9","49","0","0","0","5","14","12","6319"
"21","3","3","20","45","0","3","3","251","10","17","1","3","1","1","82","55","2649"
"1","7","1","0","1","0","3","12","3","2","52","0","0","3","2","2","1","37"
"2","6","1","1","6","0","0","386","29","4","85","0","0","0","4","11","4","570"
"4","1","3","1","28","0","2","0","28","8","8","2","0","0","8","16","9","197"
"1","6","1","0","10","0","1","11","13","5","47","1","0","0","4","5","4","12"
"8","6","4","5","15","2","1","386","62","6","95","0","0","1","5","21","12","603"
"2","1","2","0","3","0","2","0","15","3","23","1","0","0","3","7","4","157"
"1","1","0","1","1","0","1","0","6","2","9","0","0","1","2","3","2","110"
"5","5","5","0","1","0","1","55","7","2","139","1","0","0","2","3","2","0"
"6","3","1","6","120","0","7","95","110","16","73","4","0","0","6","59","27","932"
"9","6","2","7","10","2","3","385","66","5","95","0","0","3","2","29","17","466"
"15","2","2","14","78","0","3","19","269","13","37","0","1","3","2","89","66","2169"
"3","8","3","1","10","0","1","69","23","5","243","1","0","0","4","8","6","42"
"17","1","11","9","66","0","5","0","192","12","8","5","3","0","9","86","51","190"
"2","3","1","1","66","0","3","95","52","12","73","2","0","0","3","28","14","442"
"7","2","2","6","6","0","7","0","28","4","13","5","0","2","3","14","10","93"
"29","2","26","3","28","2","6","28","35","8","16","0","0","5","8","15","11","380"
"15","1","2","13","15","0","1","0","152","6","8","0","1","1","5","67","19","422"
"12","1","10","2","28","0","1","0","52","8","8","1","0","0","8","21","15","551"
"13","2","5","9","36","1","9","141","139","9","35","0","0","8","9","47","36","1935"
"22","2","1","22","91","0","3","68","343","14","33","1","0","0","3","107","117","2365"
"15","2","4","11","91","0","6","45","286","14","4","0","0","0","12","120","89","4108"
"5","2","1","4","91","0","5","95","107","14","68","3","0","0","5","53","27","784"
"3","7","1","2","6","0","0","387","14","4","101","0","0","0","2","12","4","71"
"12","4","2","10","28","0","1","28","64","8","91","0","1","0","2","38","17","724"
"6","1","1","5","231","1","11","0","275","22","25","0","0","0","18","83","62","3976"
"5","2","1","5","21","0","1","68","57","7","33","0","0","0","4","16","27","10"
"4","1","2","2","1","2","6","12","15","2","16","0","0","4","0","7","4","90"
"3","1","0","3","10","0","3","14","26","5","11","0","0","3","5","8","13","0"
"4","3","1","4","78","0","6","95","76","13","73","4","0","0","4","39","23","749"
"3","1","1","2","45","0","4","0","117","10","16","0","1","4","9","24","30","34"
"5","2","1","5","3","0","4","8","49","3","19","0","0","4","3","17","15","327"
"8","2","5","3","10","1","4","28","21","5","16","0","0","4","5","12","7","262"
