chat_text,emotion,text_response
he helped make the yankees the best team ever.,admiration,"and ruth was a good person, too."
"without gravity, you would go up.",curiosity,what do you mean?
the man fell asleep.,neutral,was he smoking?
this is a nice neighborhood.,neutral,the streets are clean and quiet.
are you going to buy a desktop or laptop?,neutral,"oh, a laptop, of course."
of course. it's all over the news.,neutral,i thought it was next sunday.
golf is a silly game.,neutral,it certainly is.
what's wrong?,neutral,it's not orange!
don't be ridiculous.,curiosity,what do you mean?
sort of. she knows whenever i sneak a cigarette.,neutral,you don't need a good nose for thatÂ—cigarettes stink.
I mastered a new musical instrument and performed in front of a live audience!,pride,That's impressive! Mastering a musical instrument takes talent and dedication. You should feel proud of your musical achievements!
that's 50 million people who don't love obama.,joy,obama's got four years to make everyone happy.
they were in a crosswalk near school at 3 a.m.,neutral,who?
i have to clean the house.,approval,"yes, it's very dirty."
i'm throwing a party on friday.,amusement,that sounds like fun.
i was scratching my nose.,neutral,i think i know the difference between picking and scratching.
why did they invite him?,gratitude,to thank him and all the other soldiers who served in world war ii.
"yes, but i love the night air after it rains.",confusion,really? why is it?
How did you react when you found out your favorite band was performing a surprise concert in town?,surprise,I was ecstatic! I couldn't believe my luck. It was the best surprise ever.
"no, i just blow my nose a lot.",neutral,your nose is stopped up?
what kinds of things do you like to do?,neutral,i've always liked to draw and paint.
i didn't even have lunch.,neutral,neither did i.
i'm sure everything will be okay in a day or two.,neutral,it's your girlfriend's fault. she should have warned you.
"only about $30,000.",neutral,"without the food stains, it would probably be worth more."
that's a lot of money.,neutral,he gave $100 to people in wheelchairs.
i've been working too.,joy,"well regardless, i'm very happy that you came to see me."
i like to run around the bases.,neutral,i like to slide into the bases.
we should stand here till the clean-up person gets here.,neutral,we can leave if we put an orange cone here.
"a lot, like the party i'm having on friday.",admiration,"well, that's cool."
what are you going to do?,neutral,i sent them an email asking for my money back.
i'm a babysitter.,neutral,is that a lot of work?
my hard drive crashed.,disapproval,"oh, no. that's bad news."
the patch has glue. the hot iron melts the glue so the patch sticks on.,neutral,that sounds a lot easier than sewing.
The restaurant I wanted to try was fully booked.,disappointment,That's a letdown. I know you were excited to go. Maybe we can find another great place to dine.
"I planned a picnic, but it rained all day.",disappointment,That's disappointing. I know you were looking forward to it. Maybe we can have an indoor picnic instead.
but i love pizza.,love,everybody loves pizza.
it's okay.,neutral,so what were you calling me about?
they might think i'm stupid.,caring,they're not going to think that! they'll be glad to help you.
"no, thanks. i already took some medicine.",optimism,i hope you feel better.
"oh, yeah. he's changing it to a basketball court.",neutral,who's paying for that?
I keep getting stuck in traffic every morning.,annoyance,"I know how you feel. Traffic jams are the worst, especially when you're in a hurry. Maybe you can try leaving earlier."
until then.,neutral,talk to you later.
i'm still feeling under the weather.,neutral,would you like anything for your stomach?
i like how clear the sky gets after it rains.,admiration,i feel the same way. it smells so good after it rains.
I keep getting interrupted while I'm trying to work.,annoyance,That's really annoying! It's hard to focus when you keep getting interrupted. Maybe you can find a quiet space to work.
"nothing much, what's going on?",neutral,i'm having a party this friday.
golf is so hard.,neutral,what's so hard about hitting a little white ball?
you had an art class?,admiration,"exactly, it was my favorite class."
it wouldn't seem right if it started raining right now.,neutral,it would be weird if it started raining in ninety degree weather.
what do you want the waiter to do?,neutral,bring me a better steak.
i was laughing through the whole movie.,amusement,"i couldn't help laughing, either. "
have you heard what happened?,neutral,heard what?
what's that?,neutral,it's a yearly reminder to take care of our planet.
i don't want to see a movie by myself.,neutral,"okay, so are you going to school tomorrow?"
"after that, we can dry it with a towel.",neutral,then it will look like new
i wasn't picking my nose.,neutral,what were you doing?
"i'm serious, have you?",curiosity,"no, i haven't. why?"
what happened?,neutral,our cousin went into labor and had her baby last week.
i got out of my car.,neutral,that's it?
and then you hit it again.,neutral,"finally, you put the ball into a hole in the ground."
i hate going to parties.,neutral,"well, that's okay."
he made promises that he didn't keep.,curiosity,like what?
it was the best game ever.,neutral,so tell me the final score.
why do you want to move there?,desire,because i want to make a lot of money.
did you look in your desk?,neutral,"yes. it isn't there, either."
"criminals, of course.",neutral,"anyway, i have to fix the hole."
all we've seen so far is a couple of lizards.,neutral,"we're hiking to lose weight, not to see goats and bears."
i can add two and two.,admiration,so you're not very good at math?
I accidentally touched a used chewing gum under my desk!,disgust,"Ew, gross! Used chewing gum is so nasty! Make sure to wash your hands thoroughly and avoid touching it again!"
nothing seems to work.,neutral,"all it takes is will power, and you have it."
what's the matter?,neutral,those books will slip and you'll fall.
i had to take my friend to the airport.,neutral,why didn't you take a nap when you got home?
fine. what's going on with you?,neutral,i'm having a party this friday.
Did you hear that noise outside last night?,fear,"Yes, it sounded like someone was trying to break in. I was too scared to even look out the window."
like what?,neutral,"like a day at the beach, with my toes in the sand."
"and 4,000 people showed up.",neutral,so many people are out of work.
"i like all my classmates, too.",neutral,anything else?
so tell me the final score.,neutral,"the other team lost by three points, 101-98. "
do you have a cold?,approval,"yes, i do."
How do you cope with uncertainty in life?,realization,"I've realized that uncertainty is a natural part of life, and instead of fearing it, I embrace it as an opportunity for growth, learning, and new experiences."
The movie I was excited to see turned out to be really bad.,disappointment,I know how disappointing that can be. Sometimes movies don't live up to our expectations.
why not?,neutral,"number one, it's too slow."
there will be another show next week.,neutral,please?
have you ever lost a letter in the mail?,disapproval,"no, i haven't."
would you have dinner with me?,love,i would like to.
it's so tight that it's hard for me to breathe.,neutral,hold your breath till we get there.
he's been a chain smoker for 30 years.,neutral,that's unbelievable. can he still breathe?
it's perfect for us and the kids.,neutral,"three bedrooms, three bathrooms, and a big back yard."
"hi, how are you doing?",neutral,i'm fine. how about yourself?
bacon and eggs?,neutral,"with toast, ham, sausage, fresh fruit, and juice."
i have to hang up. i'm so sleepy.,neutral,it's not even 10 o'clock.
what do they talk about?,neutral,they talk about other animals.
so why are we selling our house?,neutral,they're building a 3-story apartment building on the corner.
a gardening show follows a knitting show.,neutral,a cooking show follows a sewing show.
"no, i don't. do you?",neutral,"i don't have a girlfriend, either."
"like what, for instance?",joy,i enjoy rock and r&b.
i've just been working a lot.,joy,"whatever the reason may be, i'm glad you visited me."
"well, that should get you something.",neutral,but i need something that's reliable.
but we need to turn left.,neutral,forget it. go straight.
i will play the radio as loud as i want.,neutral,that's okay with me.
"i apologize, but i'm getting off the phone now.",neutral,okay.
i eat the same thing every day.,amusement,you're kidding.
what are you reading?,neutral,it's about crime in los angeles.
"well, listen to it more quietly.",neutral,i can't wait till i grow up.
i got a d in college chemistry.,admiration,"well, a d is better than an f."
"yes, i guess most of us are stuck in a routine.",curiosity,i wonder if there is any job that you don't repeat over and over.
and he yelled back at me.,annoyance,how rude.
that's a good question. maybe it's not old age.,neutral,are you right-handed?
there are so many things you have to do right.,curiosity,like what?
he will solve our problems.,neutral,he will end the war.
"that's how i feel, i want winter to come soon.",neutral,"i enjoy the winter, but it gets really cold sometimes."
i loved it!,neutral,did you get free food?
i've been missing you like crazy.,confusion,i don't understand why you haven't come to visit me.
why did she do that?,admiration,he said he would buy her a nice ring.
no. the teacher doesn't permit calculators.,neutral,how about a dictionary?
how come?,neutral,i don't really like parties.
"yes, it's a $140 ticket.",neutral,that's not right!
it's the slowest hamburger in town.,neutral,that's because they cook it while you wait.
i honestly didn't know.,neutral,the baby was 8 pounds 6 ounces.
sounds like it was a close game.,admiration,that's the reason it was such a great game.
no. they can only give a ticket if they see it happen.,curiosity,"so, what do we do?"
"but even if my candidate wins, he'll break his promises.",neutral,that's true. they promise anything just so they get elected.
did he crash?,neutral,"no, he just landed the plane and walked to a restaurant."
"yeah, i went to school today. were you there?",disapproval,"no, i didn't go, i've been sick."
i got them for forty.,neutral,i think i might go and find me my own pair of chucks.
what's up?,neutral,"nothing much, what's going on?"
put your seatbelt on.,curiosity,why?
it's so much trouble.,neutral,it's common sense.
the rest of the time he's raising money for his reelection.,neutral,"well, he'll never get reelected once this news gets out."
no. have you?,neutral,she's one of the prettiest girls at the school.
what time?,neutral,it starts at 8 o'clock.
the party starts at 8.,approval,"yeah, i think i'll go."
it's the truth. i am really happy.,admiration,congratulations on your promotion.
do you eat fruits and vegetables every day?,anger,"no, i hate vegetables."
we're stuck with him for four more years.,neutral,voting is so easy. you can even mail your ballot in.
i don't park at a store that uses metal shopping carts.,admiration,"that's a good idea, but there was a good sale at this store."
anywhere else?,neutral,then we went to a jazz club.
do you believe in god?,neutral,of course.
of course they talk to each other.,neutral,what do they talk about?
it's okay. it's a really big campus.,approval,good luck with school.
I'm about to start a new job.,nervousness,"Starting a new job can be nerve-wracking, but also a chance for new beginnings. Just be yourself, stay open to learning, and you'll do great!"
"oh, yes. i wash it once a week.",neutral,do you change the oil?
"same as ever, by mail. all it costs me is a 42-cent stamp.",neutral,"i meant, are you going to vote for or against the new taxes?"
that's not nice.,disgust,it's worse than that.
what did you do?,neutral,i turned up the volume.
uh-oh. that means that she's fat and ugly.,admiration,she's cute.
more and more people are using macs.,neutral,but 90 percent of the world uses pcs.
maybe. i'm not sure.,neutral,what did you have for breakfast?
Did you apologize to your friend for forgetting their birthday?,remorse,"Yes, I felt awful for forgetting such an important day. I apologized sincerely and made it up to them with a special belated celebration."
then why are you watching tv?,admiration,this is my favorite show.
i hate medication. it makes me feel different.,neutral,so how do you think positive?
but bush visited some of them in the hospital once.,admiration,that's nice that he found the time to make a visit.
spring break starts tomorrow.,neutral,are you going to go anywhere?
that was an odd change of subject.,confusion,"maybe it was, but answer the question."
they want 20 percent down.,neutral,that's a lot of money.
that sounds wonderful.,neutral,except we can't afford it!
so we have to be at the airport at 10:15.,neutral,that means we have to leave the house at 9:15.
he will end the war.,neutral,the next four years will be good years.
"oh, yes! ""let it be, let it beÂ…""",neutral,"""Â…there will be an answer, let it be!"""
because that gets the blood out of the shirt.,neutral,what's a little blood?
yeah. it's a lot of fun to slide.,neutral,i want to be a baseball player when i grow up.
they go in one ear and out the other.,neutral,who makes up all these jokes?
i'll hold you to that.,neutral,sounds like a plan.
it's too dangerous for kids and pets.,neutral,people need to cover their trash cans.
i think that would be nice.,neutral,is there anything you would like to do next time?
i'll go.,optimism,i hope that i'll see you there.
about what?,neutral,about finding a job for me.
what did you have for breakfast?,neutral,"the usual, cereal with milk and a banana."
i don't like that man.,confusion,why not?
what's so hard about golf?,neutral,there are so many things you have to do right.
"yes, those eight years were a lot of fun for everyone.",neutral,"only 4,000 american soldiers were killed overseas."
"he might relax, but it makes me nervous.",neutral,"if his wife doesn't mind, you shouldn't mind."
okay. teach me how to play.,neutral,we each get five cards.
what is your favorite kind of music?,neutral,i listen to various types of music.
i love peanuts.,love,"me, too. i love them roasted and salted."
pasta is processed food. potatoes are natural food.,neutral,natural food has more vitamins.
can you go?,neutral,what time?
"i'm not sure, but i don't think she's given out that many.",neutral,"well, hopefully she'll give me my invite later on today."
look at the bottom of my shoesÂ—they're clean.,neutral,of course they're clean. you left all the mud on the carpet.
what do you mean?,neutral,there were more votes than voters!
the people are friendly.,neutral,i'm not ever going to leave.
a travel show follows another travel show.,neutral,i'll say! i've gone around the world a dozen times already!
you must be joking.,disapproval,"no, i'm serious."
"okay, that won't be very crowded.",curiosity,what would you like to see?
good! i just thought i'd let you know.,gratitude,thanks for telling me.
"okay, my seatbelt is on.",joy,i'm glad you don't complain very much.
that's such a hassle.,love,i knew you didn't love me.
"whenever he needs a shot to win a tournament, he makes that shot.",disapproval,no human can do that.
to show respect to god and others.,joy,i'm glad sunday is only once a week.
"maybe i know, but how could you know?",neutral,because i was watching you.
so maybe we better leave at 8:15?,approval,"yes, it's better to get there too early than too late."
"while you're using the bathroom, i'll order some food.",disapproval,don't order for me. i'm not hungry.
I'm about to start a difficult conversation with my boss.,nervousness,"Difficult conversations with bosses can be nerve-wracking, but important for growth and clarity. Prepare your points, stay calm, and remember to listen."
but cigarettes taste much better when you have a cold beer.,neutral,"well, you can't have everything."
"it's a little bitter, but it's okay.",neutral,there's no sugar or cream in it.
Did you anticipate the sudden appearance of a double rainbow after the rainstorm?,surprise,Not at all! I was amazed when I looked outside and saw it. It was such a rare and beautiful sight.
i like this magazine.,neutral,so do i.
every easter sunday he gives away money.,neutral,is it his money?
that trip must have cost a lot of money. ,neutral,he said all the money came from private donations.
i think some fish have blue eyes.,optimism,i hope i don't come back as a fish.
all day long we heard tvs or telephones.,neutral,all night long we heard people snoring.
me too.,admiration,he will be a great president.
"no, it isn't. a flat costs you time and money.",neutral,and i don't have either.
we need a new mattress.,neutral,what's the matter with this one?
let's stop for a while. i need a break and some water.,neutral,this trail is hard to climb.
and then he turned right around.,neutral,maybe you're right.
"this year he gave away $15,000.",neutral,that's a lot of money.
i saw what you did.,neutral,i didn't do anything.
what's to check?,neutral,are your nails clean?
maybe because they didn't have to brush and floss.,neutral,who invented flossing?
what does that have to do with it?,neutral,rich people think they're better than us.
but you'll be asleep in about one minute.,neutral,i'm just yawning because the commercials are on.
you think so?,approval,yes. good for you.
are you going to travel alone?,neutral,"no, my sister and i will travel together."
i just insert my debit card into the machine.,neutral,and it gives you money?
"yes, but the red hand was blinking.",neutral,so? that's a ticket?
anything else?,approval,yes. it's not expensive!
"you're right. one minute it's hot, and then the next minute it's cold.",desire,i really wish the weather would just stay the same.
did the cops find out why he flew into the u.s.?,neutral,his life sucked. he was hoping a fighter jet would shoot him down.
what are you going to do?,neutral,i'm looking in the newspaper for a job.
of course! he's world famous.,neutral,did he ever take art lessons?
they were on sale for $80.,neutral,do they help you run faster?
"yes, i like that one, too.",neutral,i'll call him blacky.
now it's like riding a bus.,neutral,you're jammed in with people all around you.
can we go to the baseball game?,neutral,of course.
"it was long, too.",neutral,i think it was about 45 minutes long.
I didn't get the scholarship I applied for.,disappointment,"I'm sorry things didn't work out as you hoped. It's disappointing, but keep pursuing your dreams. There are other opportunities."
what time does it start?,neutral,the party starts at 8.
"i couldn't help laughing, either. ",neutral,same here.
"i wonder if the cooks' nails are dirty, too.",neutral,who cares? let's get out of here.
look how many cars are waiting in line.,neutral,they need a left-turn arrow.
that's a great price.,neutral,i think i'll buy both of them.
they could even crack their head open.,neutral,we should stand here till the clean-up person gets here.
you met a girl at the supermarket?,neutral,she was standing behind me in a really slow line at the checkout counter.
"yes, i did.",neutral,did you tell her about school?
what are you going to do about your death?,neutral,"well, mostly i'll try to avoid it."
i went to hawaii on vacation.,curiosity,did you like it?
this sunday?,neutral,of course. it's all over the news.
they were in the student parking lot.,neutral,how many tires were cut?
do animals talk to each other?,neutral,of course they talk to each other.
i don't feel like going.,confusion,why not?
Did you manage to book the last available hotel room for your trip?,relief,"Yes, I secured the booking just in time. I'm relieved we have accommodation."
"it sure is, but i'm going to call hp first, just to make sure.",neutral,will you lose all your files?
what was your last job?,neutral,i was a painter.
where's your money?,neutral,it's not in my wallet.
i'm sorry for you.,gratitude,thank you.
it's the law.,neutral,it's so much trouble.
i don't have money or a new car.,neutral,"me, neither."
because i love the snow.,amusement,"yes, the snow is fun."
they say he's going 80 miles per hour.,neutral,he's going to kill someone.
i really don't think it's any of your business.,admiration,that's not nice.
why did she leave you?,love,she said she didn't love me anymore.
i'm having dinner with my family,neutral,maybe you can come next time.
why do you have to think about it?,neutral,because a puppy costs money.
then go find a tissue in the bathroom.,neutral,i didn't have time to get one from there.
it's no trouble at all.,neutral,"if you get sick, i'll return the favor."
did you go to the 99 cents store?,approval,"yes, i did."
so why can't i have pizza for dinner?,neutral,because you need variety.
i have no idea.,neutral,a button is hard to find. did you look in your pant cuffs?
"oh, really? who won?",neutral,our school did. they played really well.
i'll see you tomorrow then.,neutral,see you then. goodbye.
it's called poker.,neutral,is it easy to learn?
let's find a house that's at the end of a dead end.,admiration,"that's perfect. the less traffic, the better."
you started eating ice cream?,neutral,it was on sale.
let's take a walk.,neutral,what's the weather like?
who thinks that?,neutral,i don't know.
"thanks. i think you look nice today, too.",gratitude,thank you. i just bought these new shoes earlier today.
"well, how tall is she?",neutral,she's about five feet even.
My phone keeps autocorrecting words incorrectly.,annoyance,I hate when that happens! Autocorrect can be so annoying sometimes. Maybe you can turn it off or adjust the settings.
How did you feel when you received a surprise visit from a childhood friend you hadn't seen in years?,surprise,I was overjoyed! It was such a pleasant surprise to see them after so long. I couldn't stop smiling.
"well, more than 50 million people voted for mccain.",love,that's 50 million people who don't love obama.
i folded all the towels.,neutral,did you put the sheets on the beds?
so it's not worth much?,neutral,"only about $30,000."
"but the title of measure 1 is ""better schools at no cost.""",neutral,"the title should be ""better schools at huge cost."""
would you like to go to dinner or something?,approval,"yeah, let's do that."
what's the matter?,neutral,"i think i know, because this happened before."
what happened at the restaurant?,neutral,"we had a $40 meal, and he left a $1 tip!"
i had no idea.,approval,is that right?
you can't believe what you hear on tv or radio.,neutral,you can't believe what you read in the newspapers.
they are having a good time with our money.,neutral,so when are we going to stop giving them more?
being broke is no fun.,neutral,even if it's only for a short while.
"every so often, i do.",neutral,did you always know how to draw and paint?
did she catch you using drugs?,neutral,sort of. she knows whenever i sneak a cigarette.
i think i know who you're talking about.,neutral,have you seen her?
they're all so cute.,approval,"yes, but i can't keep them."
so are mine.,neutral,why did your parents get divorced?
"nope, and it drives him crazy.",neutral,he knows you can't read his mind. maybe he thinks you're cheating.
"i'll bet he was drinking, too.",neutral,the victim hit his head on the concrete steps and died.
then why is there mud on the carpet?,neutral,i don't know. it's not my mud.
how much did you buy?,neutral,i filled up my freezer with ice cream.
"oh, all over the world.",neutral,but he's supposed to be making our city a better place.
you think?,neutral,maybe a pound or two.
he hates democrats and republicans.,neutral,"well, they do put their party before their country."
i know that.,annoyance,so why are you arguing with me? don't lie in the sun too long!
that sounds good.,approval,"all right, so i'll see you then."
bring me a better steak.,neutral,i wouldn't do that.
"no, because it hurts my ears.",curiosity,what do you mean?
i was told about it already. i'm just waiting for my invitation.,neutral,is that right? i already got my invitation from her earlier.
that's what everyone says.,neutral,it might as well be me.
i'll bet they were drinking.,neutral,a third guy punched one of the two guys.
all you've lost is some sweat.,neutral,i haven't even lost one pound of fat?
"thank you for inviting me, but i think i'll pass.",neutral,all right. another time then.
nobody told me.,neutral,i thought you heard.
worried about what?,neutral,i'm getting married.
How was your experience during the thunderstorm?,fear,"Terrifying. The thunder was so loud, and the lightning was striking nearby. I felt like the whole house was shaking."
why do we need to save money?,neutral,because we need to buy a house.
"i would really appreciate that, thanks.",neutral,it's no trouble at all.
how do you know that?,neutral,i read a lot.
"the other team lost by three points, 101-98. ",neutral,it must've been a close game.
that means we have to leave the house at 9:15.,neutral,"well, it's an hour to get there, if there are no traffic problems."
i want to go to the ball game.,neutral,is there a game tonight?
bears are invading our neighborhoods.,neutral,of course they are. they're starving to death.
the next four years will be good years.,neutral,"i'll vote for him next time, too."
the dome doesn't close.,neutral,why doesn't it close?
"well, i think we are paying for it.",neutral,no. look at the bill when we get it. there's no charge for the bread.
"i eat two apples, one banana, and one orange every day.",neutral,"well, there's nothing wrong with that."
i've tried to quit so many times.,neutral,so has everyone else.
they're best when they're hot.,neutral,my brother is allergic to peanuts.
the sports guy shows us players fighting.,neutral,"they always tell us ""what's next."""
of course they are. they're starving to death.,neutral,they should stay in the woods where they belong.
maybe you just need to go to the bathroom.,disapproval,"no, that's not the problem."
